Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
31409135,The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,"Moore, Kate",,"=""149264935X""","=""9781492649359""",0,4.15,Sourcebooks,Hardcover,479,2017,2017,,2020/07/30,to-read,to-read (#107),to-read,,,,0,,,0,,,,,
40538657,The Island of Sea Women,Lisa See,"See, Lisa",,"=""""","=""""",0,4.25,Scribner,Hardcover,374,2019,2019,,2020/07/30,to-read,to-read (#106),to-read,,,,0,,,0,,,,,
51184692,A Star Is Bored,Byron Lane,"Lane, Byron",,"=""1250266483""","=""9781250266484""",0,3.88,Henry Holt and Co.,ebook,,2020,2020,,2020/07/30,to-read,to-read (#105),to-read,,,,0,,,0,,,,,
43615,The Gunslinger,Stephen King,"King, Stephen",,"=""""","=""""",3,3.95,Plume,Paperback,231,2003,1982,2020/07/30,2020/07/29,,,read,,,,1,,,0,,,,,
30759083,"The Spider Network: The Wild Story of a Math Genius, a Gang of Backstabbing Bankers, and One of the Greatest Scams in Financial History",David Enrich,"Enrich, David",,"=""0753557495""","=""9780753557495""",5,4.06,Custom House/Harper Collins,Hardcover,384,2017,2017,2020/07/27,2020/07/16,,,read,,,,1,,,0,,,,,
6681454,Caught,Harlan Coben,"Coben, Harlan",,"=""052595158X""","=""9780525951582""",3,3.98,Dutton,Hardcover,388,2010,2010,2020/07/25,2020/07/24,,,read,,,,1,,,0,,,,,
41637836,"The Subtle Knife  (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,"=""""","=""""",3,4.13,RHCP Digital,Kindle Edition,370,2018,1997,2020/01/21,2020/01/14,,,read,,,,1,,,0,,,,,
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""""","=""""",5,4.29,Spectra,Kindle Edition,752,2006,2006,2020/01/02,2020/01/02,,,read,,,,1,,,0,,,,,
18122,"The Amber Spyglass  (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,"=""0440238153""","=""9780440238157""",5,4.09,Laurel Leaf,Mass Market Paperback,467,2003,2000,2020/07/23,2020/02/18,,,read,,,,1,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.11,William Morrow,Kindle Edition,635,2011,2001,2020/07/12,2019/12/31,,,read,,,,1,,,0,,,,,
34227719,"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated",Shea Serrano,"Serrano, Shea","Arturo Torres, Reggie Miller","=""1419726471""","=""9781419726477""",5,4.41,Harry N. Abrams,Paperback,240,2017,2017,2020/07/02,2020/06/22,,,read,,,,1,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",4,3.98,William Morrow,Hardcover,320,2006,2005,2020/06/23,2020/03/04,,,read,,,,1,,,0,,,,,
